taxid,desc,superkingdom,phylum,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301878,CD-SRS301868,CD-SRS301869,CD-SRS301876,CD-SRS301867,CD-SRS301879,CD-SRS301870,CD-SRS301874,CD-SRS301872,CD-SRS301875,CD-SRS301865,CD-SRS301866,CD-SRS301877,CD-SRS301871,CD-SRS301873,UC-SRS071978,UC-SRS071981,UC-SRS071988,UC-SRS071982,UC-SRS071970,UC-SRS071964,HE-SRS013215,HE-SRS012902,HE-SRS011452,HE-SRS013158,HE-SRS022713,HE-SRS016018,HE-SRS011405,HE-SRS017433,HE-SRS011061,HE-SRS017103,HE-SRS011529,HE-SRS011239,HE-SRS011084,HE-SRS011271,HE-SRS016095,HE-SRS013687,HE-SRS016335,HE-SRS020869,HE-SRS018427,HE-SRS015578,HE-SRS011586,HE-SRS015663,HE-SRS020328,HE-SRS014235,HE-SRS012273,HE-SRS011134,HE-SRS018656,HE-SRS015065,HE-SRS011302,HE-SRS014979,HE-SRS014923,HE-SRS015217,HE-SRS016495,HE-SRS013951,max
4890,Ascomycota,Eukaryota,Ascomycota,0.000097,0.000099,0.000048,0.000338,0.000032,0.000093,0.000052,0.000091,0.000094,0.000029,0.000029,0.000037,0.003111,0.00012,0.000008,0.000006,0.000016,0.000007,0.000011,0.000207,0.000015,0.000159,0.000103,0.000046,0.00025,0.001105,0.000333,0.000853,0,0.000002,0.000046,0.000002,0.000001,0.000007,0.000013,0.000002,0.000011,0.000003,0.001069,0.000021,0.000043,0.00007,0.000371,0.00023,0.000661,0.000009,0.000017,0.000172,0.000258,0.000204,0.000037,0.000076,0.000098,0.000073,0.00016,0.00006,0.000124,0.000532,0.000198,0.000084,0.000174,0.000284,0.003111
203691,Spirochaetes,Bacteria,Spirochaetes,0.000677,0.00135,0.001412,0.001339,0.002216,0.001355,0.001313,0.000106,0.000135,0.000105,0.000135,0.000162,0.000215,0.000271,0.000153,0.000192,0.000279,0.000181,0.000116,0.000254,0.000207,0.00011,0.000029,0.000043,0.000293,0.000228,0.000296,0.00101,0.000041,0.000125,0.000124,0.000135,0.000138,0.000291,0.000305,0.00019,0.000775,0.00032,0.000575,0.00108,0.000735,0.000674,0.001246,0.000848,0.002021,0.001327,0.000473,0.000329,0.001259,0.000868,0.001548,0.00125,0.001942,0.001788,0.000894,0.000586,0.002429,0.002752,0.001699,0.002127,0.00279,0.001742,0.00279
1117,Cyanobacteria,Bacteria,Cyanobacteria,0.000195,0.000297,0.000305,0.000298,0.000677,0.000317,0.000327,0.000029,0.000033,0.000042,0.000021,0.000033,0.000063,0.000104,0.00005,0.000052,0.000036,0.000055,0.000038,0.000041,0.000017,0.000019,0.000005,0.000013,0.00008,0.000089,0.00008,0.001097,0.000011,0.000023,0.000029,0.000071,0.000036,0.000067,0.000049,0.00006,0.000231,0.000067,0.000155,0.000398,0.00021,0.000195,0.000381,0.000224,0.000775,0.000348,0.000113,0.000065,0.000368,0.000214,0.000378,0.000255,0.000645,0.000536,0.000302,0.000163,0.000594,0.000568,0.000334,0.000258,0.000269,0.000625,0.001097
1297,Deinococcus-Thermus,Bacteria,Deinococcus-Thermus,0.000141,0.000359,0.000306,0.000211,0.000983,0.000354,0.000453,0.00001,0.000022,0.000015,0.000007,0.000008,0.000013,0.00002,0.000054,0.000062,0.000007,0.000045,0.000036,0.000005,0.000001,0.000003,0,0.000001,0.000004,0.000004,0.000007,0.000006,0.000002,0.000002,0.000022,0.000007,0.000011,0.000052,0.000016,0.000014,0.000126,0.000047,0.000039,0.000092,0.000064,0.000031,0.000117,0.000074,0.000225,0.000213,0.000046,0.000014,0.000046,0.00007,0.000169,0.000091,0.00008,0.000136,0.000139,0.000036,0.000122,0.000255,0.000151,0.000088,0.000045,0.000115,0.000983
6040,Porifera,Eukaryota,Porifera,0,0.000001,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000053,0,0,0.000034,0.000071,0.000184,0,0,0.000007,0,0,0.000009,0,0.000023,0,0.000893,0,0,0,0,0,0,0,0,0.000893
200918,Thermotogae,Bacteria,Thermotogae,0.000149,0.0001,0.000123,0.000266,0.000104,0.00014,0.0001,0.000018,0.000025,0.000026,0.000021,0.000032,0.000049,0.000061,0.000011,0.000012,0.000041,0.000016,0.000008,0.000046,0.000049,0.000013,0.000007,0.000003,0.0001,0.000111,0.000079,0.000216,0.000004,0.000005,0.000019,0.00001,0.000011,0.000035,0.000047,0.000015,0.000166,0.000047,0.000115,0.000443,0.000155,0.000138,0.000132,0.000249,0.000436,0.000276,0.000064,0.000061,0.000321,0.000217,0.000295,0.000373,0.000872,0.000534,0.00013,0.00008,0.000709,0.000497,0.00023,0.000258,0.000674,0.000639,0.000872
2870,Phaeophyceae,Eukaryota,Phaeophyceae,0.000009,0.000001,0.000055,0.000012,0.000012,0.000001,0.000105,0,0,0,0,0.000002,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000285,0,0,0,0.000429,0.000789,0.000007,0,0.000026,0,0,0.000133,0.000013,0.000036,0,0,0,0,0,0,0,0,0,0,0.000789
200783,Aquificae,Bacteria,Aquificae,0.0001,0.000077,0.000078,0.000163,0.000106,0.000118,0.000077,0.000005,0.000008,0.000008,0.000002,0.00001,0.000031,0.000036,0.000003,0.000004,0.000014,0.000005,0.000002,0.000017,0.00001,0.000007,0.000005,0.000008,0.000035,0.000027,0.000051,0.000061,0.000003,0.000016,0.000012,0.000011,0.000007,0.000031,0.000023,0.000011,0.000109,0.000032,0.000072,0.000197,0.000191,0.000127,0.000094,0.000093,0.000333,0.000174,0.000047,0.000036,0.000273,0.000133,0.000334,0.000241,0.000577,0.000353,0.000096,0.000071,0.000632,0.000346,0.000188,0.000277,0.000734,0.000435,0.000734
200795,Chloroflexi,Bacteria,Chloroflexi,0.000153,0.000319,0.0003,0.000224,0.000648,0.00026,0.000354,0.000008,0.000011,0.000013,0.000007,0.000008,0.000009,0.000017,0.000031,0.000025,0.000008,0.000037,0.000022,0.000011,0.000009,0.000007,0,0.000001,0.000011,0.000006,0.00001,0.000038,0.000003,0.000019,0.000036,0.000031,0.000044,0.000032,0.00003,0.000025,0.00011,0.000037,0.00004,0.000087,0.000074,0.000077,0.000157,0.00011,0.0002,0.000252,0.000058,0.000043,0.000108,0.000095,0.000181,0.000125,0.000116,0.000175,0.00012,0.00011,0.000233,0.000243,0.000256,0.000225,0.000291,0.000202,0.000648
5204,Basidiomycota,Eukaryota,Basidiomycota,0.000003,0.000001,0,0.000001,0.000001,0.000001,0.000001,0,0.000001,0,0,0,0.000004,0.000001,0,0,0.000001,0,0,0,0,0,0.000023,0.000318,0,0,0.000048,0.000513,0,0,0,0,0,0,0,0,0.000001,0,0.000001,0,0,0,0.00001,0.000004,0.000003,0,0,0,0,0,0.000001,0.000004,0,0,0.000002,0,0.000007,0.000001,0,0,0.000001,0,0.000513
3041,Chlorophyta,Eukaryota,Chlorophyta,0.000049,0.000001,0.000005,0.000003,0.000005,0.000004,0.000004,0,0.000001,0,0,0.000004,0.000302,0.000002,0.000001,0.000002,0.000064,0.000003,0.000003,0,0,0,0,0,0,0.000045,0,0,0,0.000002,0.000001,0,0,0,0.00002,0,0,0.000001,0.000188,0,0,0.000025,0.000268,0.00042,0.000009,0.000004,0.000029,0,0,0.000041,0,0.000027,0.000003,0.000064,0,0,0,0.000006,0.000004,0,0,0,0.00042
57723,Acidobacteria,Bacteria,Acidobacteria,0.000051,0.000124,0.000118,0.000076,0.000338,0.000118,0.000153,0.000005,0.000004,0.000005,0.000004,0.000004,0.000004,0.000006,0.000024,0.000023,0.000001,0.000021,0.000015,0.000003,0,0,0.000001,0,0.000011,0.000008,0.00001,0.000015,0,0.000002,0.000007,0.000022,0.000009,0.000024,0.00001,0.000008,0.000061,0.000021,0.000028,0.000045,0.000029,0.000021,0.000062,0.000036,0.000108,0.00008,0.000023,0.000008,0.000027,0.000029,0.000069,0.000036,0.000034,0.000064,0.000058,0.000019,0.000043,0.000089,0.000067,0.000057,0.000033,0.000048,0.000338
1090,Chlorobi,Bacteria,Chlorobi,0.000059,0.000163,0.000166,0.000107,0.000315,0.000151,0.000161,0.000009,0.000008,0.000012,0.000008,0.000012,0.00001,0.000014,0.000017,0.000016,0.00001,0.000018,0.000012,0.000008,0.000001,0.000003,0.000009,0,0.000005,0.000004,0.000006,0.000128,0.000006,0.000005,0.000017,0.000064,0.000015,0.000046,0.000088,0.000024,0.000258,0.000045,0.000068,0.000145,0.000081,0.00011,0.000264,0.000132,0.000292,0.00021,0.000043,0.000022,0.000075,0.000094,0.000166,0.000096,0.000083,0.000205,0.00021,0.000069,0.000155,0.000203,0.000119,0.000165,0.00028,0.000121,0.000315
68297,Dictyoglomi,Bacteria,Dictyoglomi,0.000036,0.000023,0.000023,0.000055,0.00002,0.000032,0.000018,0.000003,0.000009,0.000005,0.000004,0.000009,0.000014,0.000019,0.000002,0.000002,0.000018,0.000002,0.000001,0.000012,0.000008,0.000006,0,0.000002,0.000034,0.000025,0.000021,0.000042,0.000004,0.000005,0.000007,0.000002,0.00001,0.000007,0.000009,0.00001,0.000021,0.000011,0.000041,0.000091,0.000035,0.00005,0.000037,0.00003,0.000111,0.000047,0.000018,0.00002,0.000099,0.00005,0.000086,0.000071,0.000247,0.00015,0.000054,0.000023,0.000201,0.00017,0.000046,0.000075,0.000128,0.000143,0.000247
200930,Deferribacteres,Bacteria,Deferribacteres,0.000052,0.000032,0.000038,0.000068,0.000037,0.00005,0.000032,0.000001,0.000003,0.000002,0.000002,0.000002,0.000006,0.000012,0.000001,0.000001,0.000015,0.000002,0.000001,0.000005,0.000004,0.000006,0,0.000002,0.000026,0.000008,0.000007,0.000035,0.000002,0.000003,0.000009,0.000011,0.000007,0.00001,0.00001,0.000005,0.000049,0.000011,0.000052,0.000098,0.000061,0.000046,0.000088,0.000057,0.000205,0.000085,0.000026,0.00002,0.000105,0.000055,0.000099,0.000089,0.000188,0.000153,0.000074,0.000036,0.000233,0.000173,0.000069,0.000176,0.000138,0.000145,0.000233
204428,Chlamydiae,Bacteria,Chlamydiae,0.000022,0.000017,0.000021,0.000035,0.000041,0.000023,0.000019,0.000003,0.000005,0.000004,0.000001,0.000003,0.000011,0.000016,0.000002,0.000002,0.000013,0.000003,0.000002,0.00001,0.000004,0.000003,0,0.000002,0.000007,0.000005,0.000002,0.00023,0.000001,0.000002,0.000002,0.000011,0.000003,0.000008,0.000008,0.000003,0.000025,0.000007,0.00002,0.000065,0.000077,0.000025,0.000103,0.000049,0.000214,0.000066,0.000014,0.000006,0.000062,0.000033,0.000058,0.00003,0.000091,0.000074,0.000031,0.000039,0.000068,0.000084,0.000041,0.000081,0.000044,0.000083,0.00023
74152,Elusimicrobia,Bacteria,Elusimicrobia,0.000009,0.000012,0.000011,0.000016,0.000039,0.000019,0.000017,0.000001,0,0,0,0.000002,0.000002,0,0.000002,0.000001,0.000001,0.000003,0.000002,0.000004,0,0,0,0,0.000002,0.000002,0.000003,0.000008,0,0,0.000002,0.00001,0.000001,0.000001,0.000002,0.000001,0.000015,0.000002,0.000006,0.000086,0.000023,0.000011,0.000072,0.000031,0.000225,0.000035,0.00001,0.000003,0.000024,0.000008,0.000021,0.000033,0.000021,0.000039,0.000012,0.000015,0.000122,0.000075,0.00002,0.000032,0.000077,0.000035,0.000225
1134404,Ignavibacteria,Bacteria,Ignavibacteria,0.000018,0.000022,0.000019,0.000025,0.000024,0.000022,0.000022,0,0.000001,0.000001,0.000001,0.000002,0.000002,0.000004,0.000002,0.000001,0.000004,0.000002,0.000001,0.000003,0.000001,0.000001,0,0,0.000004,0,0.000003,0.000175,0.000005,0.000005,0.000004,0.000013,0.000005,0.000012,0.00001,0.00001,0.000029,0.000009,0.000019,0.000048,0.000024,0.000017,0.00009,0.00003,0.000158,0.000032,0.00001,0.000007,0.000036,0.00004,0.000036,0.000036,0.000065,0.000049,0.000022,0.000016,0.000074,0.00007,0.000032,0.000062,0.000063,0.000063,0.000175
28889,Crenarchaeota,Archaea,Crenarchaeota,0.000015,0.000022,0.000021,0.000028,0.000043,0.000018,0.000021,0.000001,0.000003,0.000002,0.000001,0.000001,0.000004,0.000008,0.000005,0.000007,0.000002,0.000007,0.000005,0.000003,0.000004,0.000003,0.000001,0,0.000006,0.000005,0.000009,0.00003,0,0.000001,0.000002,0.000007,0.000002,0.000003,0.000003,0.000001,0.000015,0.000005,0.000058,0.000021,0.000017,0.000006,0.000014,0.000016,0.000022,0.000024,0.000006,0.000006,0.000022,0.000013,0.000013,0.000029,0.000041,0.000039,0.000014,0.000006,0.000112,0.000075,0.000026,0.000034,0.000145,0.000055,0.000145
