superkingdom,phylum,class,order,family,Max,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713,Max
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,0.1753,0.002572,0.001452,0.004002,0.004048,0.005399,0.037246,0.006007,0.00021,0.000402,0.000461,0.000346,0.000073,0.000115,0.000062,0.000035,0.000018,0.002206,0.000051,0.000381,0.000236,0.000489,0.00154,0.001745,0.004767,0.00014,0.000248,0.002694,0.005629,0.175333,0.079175,0.047042,0.064037,0.035301,0.03216,0.073171,0.09313,0.041989,0.074021,0.013479,0.00998,0.008898,0.004087,0.073364,0.021199,0.071421,0.014211,0.019206,0.031717,0.014062,0.003134,0.079174,0.143807,0.082555,0.037333,0.007177,0.058174,0.046951,0.014427,0.02501,0.169457,0.031244,0.02465,0.175333
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,0.5022,0.001213,0.001179,0.001256,0.00111,0.002155,0.004568,0.014637,0.000151,0.000221,0.000055,0.000272,0.000125,0.000114,0.000064,0.000067,0.000036,0.001057,0.000053,0.000128,0.000063,0.000054,0.000136,0.000666,0.00582,0.000152,0.00024,0.002766,0.007347,0.013694,0.006897,0.113359,0.009925,0.502198,0.005364,0.009485,0.007843,0.45947,0.009299,0.00616,0.010913,0.007541,0.004933,0.347721,0.01258,0.006644,0.002602,0.004262,0.008435,0.003327,0.002142,0.032702,0.012384,0.018359,0.006202,0.003691,0.009655,0.023958,0.008544,0.007057,0.009745,0.005381,0.017731,0.502198
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,0.2946,0.014544,0.015495,0.014989,0.012031,0.023448,0.067435,0.013691,0.00008,0.000215,0.000826,0.000011,0.000007,0.000008,0.000033,0.000014,0.000013,0.000943,0.000014,0.000241,0.00024,0.000251,0.000686,0.000678,0.001577,0.000068,0.00008,0.000697,0.002154,0.071361,0.118737,0.074294,0.103481,0.045663,0.055171,0.02564,0.002272,0.015391,0.080111,0.112028,0.00337,0.009464,0.004136,0.002924,0.018175,0.04581,0.038333,0.057153,0.036489,0.013689,0.000393,0.076053,0.221778,0.045612,0.071455,0.016016,0.085934,0.079296,0.046787,0.294616,0.114409,0.041907,0.006261,0.294616
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0.0084,0.000245,0.000216,0.00025,0.000448,0.000412,0.000919,0.000304,0.000058,0.000043,0.00003,0.000135,0.000058,0.000089,0.000042,0.000021,0.000027,0.000152,0.000037,0.000025,0.000062,0.00002,0.00008,0.007349,0.000782,0.002515,0.007726,0.000655,0.000977,0.001268,0.001113,0.001748,0.001015,0.00132,0.001295,0.001026,0.000724,0.004244,0.001268,0.001398,0.000351,0.000585,0.000179,0.008369,0.000969,0.000981,0.000774,0.001038,0.000703,0.000628,0.000282,0.001965,0.001925,0.002828,0.001719,0.000722,0.001179,0.005694,0.001014,0.001502,0.00176,0.001226,0.001229,0.008369
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,0.1985,0.198532,0.00366,0.003727,0.041547,0.031589,0.081623,0.035545,0.000009,0.000011,0.000014,0.000007,0.000006,0.00007,0.000011,0.000009,0.000006,0.000011,0.00003,0.000005,0.000052,0.000009,0.000053,0.000076,0.000052,0,0.000004,0.000056,0.000058,0.000056,0.000061,0.003989,0.000521,0.000065,0.001181,0.000025,0.000018,0.000655,0.000587,0.000259,0.000016,0.000011,0.000001,0.000113,0.00059,0.005385,0.013033,0.010312,0.00005,0.000131,0.000041,0.000193,0.000013,0.000115,0.000443,0.000217,0.000019,0.000011,0.000027,0.000055,0.00009,0.001461,0.000011,0.198532
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,0.134,0.000901,0.001796,0.003486,0.004043,0.002938,0.001055,0.000982,0.000239,0.000147,0.000217,0.000228,0.000197,0.000648,0.000361,0.000214,0.00033,0.000179,0.000378,0.000135,0.000419,0.000139,0.000531,0.134035,0.000805,0.002437,0.003737,0.000609,0.00066,0.000578,0.000566,0.002221,0.001697,0.000699,0.002477,0.000208,0.000087,0.00063,0.002237,0.002576,0.000092,0.000125,0.000045,0.000964,0.002629,0.001182,0.001647,0.002724,0.000523,0.002076,0.000394,0.000909,0.000207,0.001054,0.002232,0.002107,0.000205,0.000128,0.000385,0.000855,0.001716,0.001301,0.000112,0.134035
Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,0.0027,0.000219,0.000188,0.000213,0.000314,0.000206,0.000205,0.000171,0.000068,0.000049,0.000062,0.000036,0.000035,0.000155,0.000084,0.000096,0.000115,0.000052,0.000095,0.000033,0.000117,0.000039,0.000131,0.002676,0.000134,0.00003,0.000065,0.000112,0.000161,0.000105,0.000156,0.000596,0.000474,0.00019,0.000564,0.000038,0.000021,0.00013,0.000583,0.000669,0.00002,0.000021,0.000014,0.000233,0.000702,0.000274,0.000336,0.000643,0.000099,0.000534,0.000087,0.00022,0.000037,0.000192,0.000449,0.000439,0.000035,0.000026,0.000087,0.000224,0.000428,0.000279,0.000025,0.002676
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,0.0062,0.000228,0.000646,0.000715,0.000493,0.001186,0.000524,0.000674,0.000087,0.00005,0.000059,0.000052,0.000051,0.000073,0.000053,0.000086,0.000057,0.000064,0.000074,0.00005,0.000069,0.000041,0.000061,0.006185,0.000067,0.000077,0.000115,0.000039,0.000081,0.000205,0.000157,0.000377,0.000317,0.000158,0.00057,0.000077,0.000032,0.000108,0.000255,0.00037,0.000026,0.000032,0.00001,0.000214,0.000489,0.000318,0.000694,0.000808,0.000187,0.000488,0.000109,0.000204,0.000082,0.000348,0.000458,0.000603,0.000129,0.000062,0.000237,0.000281,0.000454,0.000455,0.000036,0.006185
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,0.004,0.000043,0.000051,0.000059,0.000073,0.000068,0.000058,0.000053,0.000012,0.000007,0.000012,0.000006,0.000006,0.00003,0.000021,0.000012,0.000026,0.000009,0.000016,0.000007,0.000023,0.000006,0.000025,0.003973,0.000028,0.000037,0.000103,0.000033,0.000027,0.000044,0.000036,0.000129,0.000106,0.000041,0.00011,0.000008,0.000004,0.000024,0.00011,0.00016,0.000009,0.000006,0.000002,0.000065,0.000148,0.000066,0.000081,0.000148,0.000031,0.000102,0.000017,0.000049,0.000011,0.000042,0.000095,0.000096,0.000012,0.000007,0.000027,0.000034,0.000161,0.000079,0.000008,0.003973
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,0.0599,0.000356,0.000186,0.000173,0.00052,0.000207,0.000331,0.000164,0.000304,0.000059,0.000125,0.000037,0.000052,0.000532,0.000093,0.00013,0.00009,0.000084,0.000126,0.000052,0.000224,0.000071,0.000273,0.059914,0.000288,0.000574,0.002834,0.000175,0.000237,0.00026,0.000336,0.002275,0.001549,0.000501,0.00175,0.00028,0.000154,0.000425,0.001875,0.002011,0.000044,0.000043,0.000011,0.000528,0.00182,0.000609,0.000408,0.002004,0.000135,0.000525,0.000136,0.000456,0.000049,0.000335,0.001286,0.000598,0.000061,0.000041,0.00008,0.000762,0.001009,0.000639,0.000046,0.059914
