taxid,desc,superkingdom,phylum,class,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713
28216,Betaproteobacteria,Bacteria,Proteobacteria,Betaproteobacteria,0.006812,0.001879,0.002026,0.002773,0.006723,0.00281,0.005876,0.001932,0.006204,0.000101,0.000161,0.000192,0.00032,0.000058,0.000381,0.000048,0.024151,0.000232,0.000897,0.000097,0.00014,0.00019,0.013771,0.005445,0.001011,0.000188,0.002983,0.004642,0.025073,0.047903,0.008109,0.005571,0.007909,0.002145,0.003877,0.003375,0.002008,0.005707,0.002324,0.011312,0.008355,0.013732,0.000675,0.002311,0.002191,0.001469,0.003087,0.030699,0.002846,0.01543,0.003696,0.035189,0.039428,0.011676,0.00072,0.031003,0.003457,0.002399,0.000953,0.004564,0.002078,0.000313
28211,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,0.00087,0.001809,0.001826,0.001218,0.004159,0.001587,0.002203,0.00029,0.000223,0.000105,0.000107,0.000125,0.000189,0.000058,0.000332,0.000098,0.000292,0.000104,0.000088,0.000126,0.000128,0.000165,0.006485,0.000186,0.000102,0.000114,0.000147,0.000157,0.000957,0.000602,0.001573,0.001035,0.000627,0.001311,0.000179,0.000115,0.000608,0.000943,0.001565,0.000037,0.001342,0.000017,0.0008,0.001442,0.000802,0.000962,0.001899,0.001609,0.001079,0.000145,0.000621,0.000327,0.01049,0.022785,0.000686,0.000338,0.00011,0.000316,0.001096,0.001255,0.002926,0.0001
31969,Mollicutes,Bacteria,Tenericutes,Mollicutes,0.0009,0.000258,0.000242,0.000864,0.000409,0.000725,0.000295,0.000067,0.000027,0.000158,0.000025,0.000025,0.000669,0.00007,0.000028,0.000059,0.00005,0.0001,0.00007,0.00046,0.000114,0.000623,0.000805,0.000366,0.000015,0.000015,0.000176,0.00022,0.000607,0.001279,0.00893,0.006607,0.001449,0.005251,0.000259,0.00003,0.001537,0.006783,0.00517,0.000034,0.000125,0.000008,0.002572,0.004015,0.001445,0.000541,0.00826,0.000223,0.000796,0.000204,0.001157,0.000081,0.000437,0.00455,0.000885,0.000107,0.000074,0.000117,0.003067,0.00319,0.002285,0.000129
117743,Flavobacteriia,Bacteria,Bacteroidetes,Flavobacteriia,0.000464,0.000253,0.000314,0.000781,0.000459,0.001097,0.000355,0.000066,0.000047,0.000046,0.000143,0.000063,0.000139,0.000055,0.000024,0.000031,0.000157,0.000074,0.00003,0.000084,0.000029,0.000126,0.00818,0.000935,0.002517,0.007738,0.0007,0.001075,0.001549,0.001387,0.003108,0.001649,0.001538,0.002017,0.001071,0.000755,0.004523,0.001874,0.002486,0.000405,0.000734,0.000182,0.008625,0.002126,0.001373,0.000985,0.001716,0.000789,0.000831,0.000355,0.0025,0.002072,0.003201,0.002608,0.000897,0.001268,0.005736,0.001048,0.001823,0.002442,0.001522,0.001272
649775,Synergistia,Bacteria,Synergistetes,Synergistia,0.001372,0.000958,0.001423,0.002239,0.006609,0.001812,0.00161,0.000112,0.000071,0.000034,0.000027,0.000029,0.000036,0.00002,0.000092,0.000023,0.00011,0.000046,0.000033,0.000034,0.000045,0.000021,0.00001,0.000045,0,0.000006,0.000028,0.000044,0.000266,0.000302,0.000399,0.00025,0.000124,0.000558,0.000103,0.000059,0.000158,0.000256,0.0004,0.000029,0.00003,0.000007,0.000229,0.000453,0.000688,0.000551,0.000681,0.00016,0.000269,0.000082,0.000267,0.000163,0.000367,0.000549,0.000395,0.00013,0.000038,0.000295,0.000652,0.000587,0.000722,0.000038
-1,,none,none,none,0.000974,0.000804,0.000956,0.001308,0.005788,0.001241,0.00209,0.000207,0.000075,0.000573,0.000105,0.000096,0.00035,0.000103,0.000209,0.000166,0.000105,0.00026,0.000276,0.001716,0.000451,0.002326,0.001417,0.000265,0.000034,0.000077,0.000961,0.000164,0.000798,0.000571,0.001379,0.001308,0.000383,0.001418,0.00017,0.000161,0.002501,0.00083,0.001233,0.000067,0.00012,0.00002,0.00466,0.00129,0.000865,0.000683,0.001344,0.000335,0.000665,0.000143,0.001113,0.000333,0.003318,0.001617,0.000685,0.000193,0.000159,0.000434,0.001272,0.001162,0.00083,0.000084
28221,Deltaproteobacteria,Bacteria,Proteobacteria,Deltaproteobacteria,0.002704,0.00165,0.001584,0.001832,0.004874,0.003104,0.00564,0.000126,0.000077,0.000098,0.000058,0.000069,0.0001,0.000011,0.000126,0.000011,0.000124,0.000053,0.000043,0.000065,0.000065,0.000401,0.000169,0.000508,0.000014,0.000035,0.000339,0.001131,0.000639,0.000468,0.0009,0.001092,0.000489,0.00082,0.000249,0.000134,0.00031,0.000563,0.001482,0.000036,0.000216,0.000024,0.000801,0.001425,0.002231,0.000745,0.001333,0.001602,0.000942,0.000113,0.000934,0.000752,0.001348,0.001711,0.000695,0.001136,0.001065,0.000853,0.000858,0.000797,0.001402,0.000076
29547,Epsilonproteobacteria,Bacteria,Proteobacteria,Epsilonproteobacteria,0.000625,0.000438,0.00067,0.000726,0.000451,0.000501,0.000391,0.000053,0.000036,0.000056,0.00006,0.000061,0.00021,0.000114,0.000042,0.000102,0.000048,0.00023,0.000031,0.00014,0.000036,0.00015,0.003054,0.000504,0.000124,0.000066,0.000437,0.000412,0.000428,0.000474,0.0016,0.001091,0.000689,0.001818,0.000176,0.000245,0.00048,0.001152,0.002252,0.00013,0.000134,0.000038,0.000498,0.001384,0.00072,0.000922,0.001327,0.000398,0.000933,0.000451,0.000718,0.000275,0.001019,0.001859,0.001732,0.000219,0.000266,0.000511,0.000927,0.000831,0.000902,0.000136
4891,Saccharomycetes,Eukaryota,Ascomycota,Saccharomycetes,0.000079,0.000069,0.00003,0.000329,0.000022,0.000079,0.000043,0.000006,0.000011,0.000037,0.000088,0.000026,0.000104,0.000015,0.000003,0.000055,0.000007,0.00001,0.000028,0.000205,0.000089,0.003026,0.0008,0.00033,0.000101,0.000037,0.0011,0.000249,0.000007,0.000041,0.000058,0.000015,0.000069,0.000105,0.000011,0.000019,0.001001,0.000254,0.000091,0.000002,0.000001,0,0.000179,0.000275,0.000062,0.00017,0.000504,0.00004,0.000053,0.000171,0.000173,0.000006,0.000216,0.000651,0.000171,0.000003,0.000001,0.00001,0.000157,0.000029,0.000006,0.000001
203692,Spirochaetia,Bacteria,Spirochaetes,Spirochaetia,0.000677,0.00135,0.001412,0.001339,0.002216,0.001355,0.001313,0.000181,0.000116,0.000162,0.000135,0.000105,0.000271,0.000207,0.000192,0.00011,0.000153,0.000279,0.000135,0.000254,0.000106,0.000215,0.00101,0.000296,0.000029,0.000043,0.000228,0.000293,0.000775,0.000735,0.001788,0.00108,0.000674,0.002429,0.000305,0.000124,0.000575,0.001259,0.001942,0.000125,0.000135,0.000041,0.000848,0.001742,0.00125,0.001699,0.002752,0.000586,0.002127,0.000329,0.000868,0.000291,0.001246,0.002021,0.00279,0.00032,0.00019,0.000473,0.000894,0.001548,0.001327,0.000138
188787,Deinococci,Bacteria,Deinococcus-Thermus,Deinococci,0.000141,0.000359,0.000306,0.000211,0.000983,0.000354,0.000453,0.000045,0.000036,0.000008,0.000022,0.000015,0.00002,0.000001,0.000062,0.000003,0.000054,0.000007,0.000007,0.000005,0.00001,0.000013,0.000006,0.000007,0,0.000001,0.000004,0.000004,0.000126,0.000064,0.000136,0.000092,0.000031,0.000122,0.000016,0.000022,0.000039,0.000046,0.00008,0.000002,0.000007,0.000002,0.000074,0.000115,0.000091,0.000151,0.000255,0.000036,0.000088,0.000014,0.00007,0.000052,0.000117,0.000225,0.000045,0.000047,0.000014,0.000046,0.000139,0.000169,0.000213,0.000011
6042,Demospongiae,Eukaryota,Porifera,Demospongiae,0,0.000001,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000893,0,0.000034,0,0,0,0.000053,0,0,0,0,0,0.000184,0,0.000023,0,0,0,0,0,0.000009,0,0.000071,0,0,0,0,0.000007,0,0,0,0
188708,Thermotogae,Bacteria,Thermotogae,Thermotogae,0.000149,0.0001,0.000123,0.000266,0.000104,0.00014,0.0001,0.000016,0.000008,0.000032,0.000025,0.000026,0.000061,0.000049,0.000012,0.000013,0.000011,0.000041,0.000021,0.000046,0.000018,0.000049,0.000216,0.000079,0.000007,0.000003,0.000111,0.0001,0.000166,0.000155,0.000534,0.000443,0.000138,0.000709,0.000047,0.000019,0.000115,0.000321,0.000872,0.000005,0.00001,0.000004,0.000249,0.000639,0.000373,0.00023,0.000497,0.00008,0.000258,0.000061,0.000217,0.000035,0.000132,0.000436,0.000674,0.000047,0.000015,0.000064,0.00013,0.000295,0.000276,0.000011
2825,Chrysophyceae,Eukaryota,none,Chrysophyceae,0,0,0,0.000006,0.000006,0.000004,0.000003,0.000001,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000308,0.000002,0.000022,0,0,0,0.000802,0,0.00005,0,0,0,0,0,0.000122,0,0.00044,0,0,0,0,0.000047,0,0,0,0
187857,Aquificae,Bacteria,Aquificae,Aquificae,0.0001,0.000077,0.000078,0.000163,0.000106,0.000118,0.000077,0.000005,0.000002,0.00001,0.000008,0.000008,0.000036,0.00001,0.000004,0.000007,0.000003,0.000014,0.000002,0.000017,0.000005,0.000031,0.000061,0.000051,0.000005,0.000008,0.000027,0.000035,0.000109,0.000191,0.000353,0.000197,0.000127,0.000632,0.000023,0.000012,0.000072,0.000273,0.000577,0.000016,0.000011,0.000003,0.000093,0.000435,0.000241,0.000188,0.000346,0.000071,0.000277,0.000036,0.000133,0.000031,0.000094,0.000333,0.000734,0.000032,0.000011,0.000047,0.000096,0.000334,0.000174,0.000007
117747,Sphingobacteriia,Bacteria,Bacteroidetes,Sphingobacteriia,0.000032,0.000044,0.000055,0.000055,0.000079,0.000124,0.000048,0.000005,0.000005,0.000004,0.000007,0.000005,0.000014,0.000004,0.000004,0.000003,0.000012,0.000007,0.000002,0.000008,0.000003,0.000009,0.000585,0.000048,0.000002,0.000005,0.000034,0.000043,0.000321,0.000162,0.000281,0.000172,0.0002,0.000217,0.000139,0.000142,0.000185,0.000136,0.000126,0.000029,0.000064,0.000063,0.000196,0.000086,0.000278,0.000232,0.000383,0.000137,0.00015,0.000035,0.000304,0.000432,0.00064,0.00031,0.000366,0.000145,0.000208,0.000209,0.000181,0.000362,0.00029,0.00006
768503,Cytophagia,Bacteria,Bacteroidetes,Cytophagia,0.00004,0.000058,0.000064,0.000066,0.000098,0.000115,0.000061,0.000007,0.000005,0.000006,0.000007,0.000007,0.000021,0.000007,0.000004,0.000005,0.000013,0.000007,0.000004,0.000015,0.000004,0.000013,0.000506,0.000028,0.000001,0.000004,0.000024,0.000024,0.000263,0.000142,0.000269,0.000126,0.000174,0.000168,0.000067,0.000061,0.000196,0.000125,0.000144,0.00006,0.000071,0.000031,0.000172,0.000125,0.0001,0.000101,0.000136,0.000063,0.000119,0.000035,0.000231,0.000179,0.000332,0.00029,0.00006,0.000086,0.000113,0.000069,0.000171,0.000218,0.000196,0.000038
5257,Ustilaginomycetes,Eukaryota,Basidiomycota,Ustilaginomycetes,0.000001,0,0,0.000001,0,0.000001,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0.000004,0.000486,0.000048,0,0.000316,0,0,0,0,0,0,0,0.000004,0,0,0,0,0,0,0,0,0,0,0.000003,0,0,0,0,0,0,0,0.000008,0,0,0,0,0,0.000002,0,0,0
33859,Synurophyceae,Eukaryota,none,Synurophyceae,0.000001,0,0.000003,0.000002,0.000002,0.000001,0.000002,0,0,0,0,0,0,0,0,0,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000188,0,0,0,0,0,0.000483,0,0.000061,0,0,0,0,0,0.000074,0,0.000216,0.000007,0,0,0,0.000006,0,0,0,0
224756,Methanomicrobia,Archaea,Euryarchaeota,Methanomicrobia,0.000076,0.000158,0.000173,0.000143,0.000325,0.000152,0.000168,0.000018,0.00001,0.000004,0.000019,0.000018,0.000026,0.000009,0.000016,0.000016,0.000013,0.000025,0.000003,0.000022,0.000002,0.000007,0.000044,0.000017,0.000001,0.000003,0.000011,0.000018,0.000079,0.00006,0.000122,0.000093,0.000069,0.000241,0.000055,0.000016,0.000042,0.000101,0.000105,0.000004,0.000007,0.000003,0.000077,0.000139,0.000118,0.000162,0.000227,0.000051,0.000146,0.000031,0.000067,0.000034,0.000102,0.00013,0.00035,0.000038,0.000012,0.00005,0.000185,0.000137,0.000137,0.000009
38410,Raphidophyceae,Eukaryota,none,Raphidophyceae,0.000001,0,0.000001,0.000002,0.000004,0,0.000002,0.000001,0,0,0,0,0.000001,0.000001,0,0,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0.000192,0,0,0,0,0,0.000349,0,0.000017,0,0,0,0,0,0.000085,0,0.000276,0.000005,0,0,0,0.000017,0,0,0,0
301297,Dehalococcoidia,Bacteria,Chloroflexi,Dehalococcoidia,0.000104,0.000181,0.000166,0.000138,0.000339,0.000146,0.000183,0.000023,0.000014,0.000001,0.000005,0.000006,0.000009,0.000006,0.000012,0.000006,0.000019,0.000005,0.000001,0.000003,0,0.000003,0.000019,0.000006,0,0,0.000003,0.000002,0.00006,0.000043,0.000113,0.000033,0.00004,0.000171,0.00002,0.000032,0.000022,0.000079,0.000068,0.000016,0.000011,0.000001,0.000072,0.000139,0.000077,0.000173,0.000125,0.000086,0.000172,0.00003,0.000064,0.000015,0.000098,0.000089,0.000249,0.000013,0.000007,0.000033,0.000069,0.000095,0.000151,0.000032
191410,Chlorobia,Bacteria,Chlorobi,Chlorobia,0.000059,0.000163,0.000166,0.000107,0.000315,0.000151,0.000161,0.000018,0.000012,0.000012,0.000008,0.000012,0.000014,0.000001,0.000016,0.000003,0.000017,0.00001,0.000008,0.000008,0.000009,0.00001,0.000128,0.000006,0.000009,0,0.000004,0.000005,0.000258,0.000081,0.000205,0.000145,0.00011,0.000155,0.000088,0.000017,0.000068,0.000075,0.000083,0.000005,0.000064,0.000006,0.000132,0.000121,0.000096,0.000119,0.000203,0.000069,0.000165,0.000022,0.000094,0.000046,0.000264,0.000292,0.00028,0.000045,0.000024,0.000043,0.00021,0.000166,0.00021,0.000015
75966,Trebouxiophyceae,Eukaryota,Chlorophyta,Trebouxiophyceae,0.000049,0.000001,0.000005,0.000003,0.000005,0.000003,0.000002,0.000003,0.000003,0.000004,0.000001,0,0.000001,0,0.000002,0,0.000001,0.000064,0,0,0,0.000302,0,0,0,0,0.000045,0,0,0,0,0,0.000025,0,0.00002,0,0.000109,0,0.000003,0.000002,0,0,0.000269,0,0.000027,0.000004,0,0,0,0,0.000012,0,0.000148,0,0,0,0,0.000003,0,0,0.000004,0
183939,Methanococci,Archaea,Euryarchaeota,Methanococci,0.000075,0.00004,0.000047,0.000126,0.000036,0.000065,0.000043,0.000003,0.000002,0.000006,0.000007,0.000006,0.000024,0.000028,0.000004,0.000009,0.000002,0.000031,0.000003,0.000024,0.000005,0.00002,0.000079,0.000058,0,0.000006,0.000024,0.000077,0.000056,0.000085,0.000252,0.000114,0.000086,0.000254,0.00001,0.000017,0.000064,0.000124,0.00027,0.000004,0.000009,0.000006,0.000076,0.000255,0.000142,0.000114,0.000282,0.00004,0.000117,0.000032,0.000085,0.000017,0.000071,0.00025,0.000262,0.00002,0.000009,0.000023,0.000051,0.000144,0.000107,0.000012
203486,Dictyoglomia,Bacteria,Dictyoglomi,Dictyoglomia,0.000036,0.000023,0.000023,0.000055,0.00002,0.000032,0.000018,0.000002,0.000001,0.000009,0.000009,0.000005,0.000019,0.000008,0.000002,0.000006,0.000002,0.000018,0.000004,0.000012,0.000003,0.000014,0.000042,0.000021,0,0.000002,0.000025,0.000034,0.000021,0.000035,0.00015,0.000091,0.00005,0.000201,0.000009,0.000007,0.000041,0.000099,0.000247,0.000005,0.000002,0.000004,0.00003,0.000143,0.000071,0.000046,0.00017,0.000023,0.000075,0.00002,0.00005,0.000007,0.000037,0.000111,0.000128,0.000011,0.00001,0.000018,0.000054,0.000086,0.000047,0.00001
68337,Deferribacteres,Bacteria,Deferribacteres,Deferribacteres,0.000052,0.000032,0.000038,0.000068,0.000037,0.00005,0.000032,0.000002,0.000001,0.000002,0.000003,0.000002,0.000012,0.000004,0.000001,0.000006,0.000001,0.000015,0.000002,0.000005,0.000001,0.000006,0.000035,0.000007,0,0.000002,0.000008,0.000026,0.000049,0.000061,0.000153,0.000098,0.000046,0.000233,0.00001,0.000009,0.000052,0.000105,0.000188,0.000003,0.000011,0.000002,0.000057,0.000145,0.000089,0.000069,0.000173,0.000036,0.000176,0.00002,0.000055,0.00001,0.000088,0.000205,0.000138,0.000011,0.000005,0.000026,0.000074,0.000099,0.000085,0.000007
204429,Chlamydiia,Bacteria,Chlamydiae,Chlamydiia,0.000022,0.000017,0.000021,0.000035,0.000041,0.000023,0.000019,0.000003,0.000002,0.000003,0.000005,0.000004,0.000016,0.000004,0.000002,0.000003,0.000002,0.000013,0.000001,0.00001,0.000003,0.000011,0.00023,0.000002,0,0.000002,0.000005,0.000007,0.000025,0.000077,0.000074,0.000065,0.000025,0.000068,0.000008,0.000002,0.00002,0.000062,0.000091,0.000002,0.000011,0.000001,0.000049,0.000083,0.00003,0.000041,0.000084,0.000039,0.000081,0.000006,0.000033,0.000008,0.000103,0.000214,0.000044,0.000007,0.000003,0.000014,0.000031,0.000058,0.000066,0.000003
641853,Elusimicrobia,Bacteria,Elusimicrobia,Elusimicrobia,0.000009,0.000012,0.000011,0.000016,0.000039,0.000019,0.000017,0.000003,0.000002,0.000002,0,0,0,0,0.000001,0,0.000002,0.000001,0,0.000004,0.000001,0.000002,0.000008,0.000003,0,0,0.000002,0.000002,0.000015,0.000023,0.000039,0.000086,0.000011,0.000122,0.000002,0.000002,0.000006,0.000024,0.000021,0,0.00001,0,0.000031,0.000035,0.000033,0.00002,0.000075,0.000015,0.000032,0.000003,0.000008,0.000001,0.000072,0.000225,0.000077,0.000002,0.000001,0.00001,0.000012,0.000021,0.000035,0.000001
183963,Halobacteria,Archaea,Euryarchaeota,Halobacteria,0.00004,0.000121,0.000138,0.000052,0.000222,0.000083,0.000162,0.000027,0.000018,0.000005,0.000005,0.000005,0.000004,0,0.000029,0.000001,0.000027,0.000004,0.000005,0.000003,0.000007,0.000006,0.00003,0.000001,0.000001,0,0.000001,0.000002,0.000035,0.000018,0.000041,0.000029,0.000008,0.000095,0.000004,0.000003,0.000017,0.000011,0.000022,0,0.000002,0,0.000027,0.000035,0.000027,0.000035,0.000085,0.000013,0.000026,0.000005,0.00002,0.000014,0.00003,0.000048,0.000019,0.000015,0.000002,0.000019,0.000042,0.000044,0.000056,0.000001
