taxid,desc,superkingdom,phylum,class,order,family,CD/HE,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713,Max,CD,UC,HE,CD/HE
41295,Rhodospirillaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,0.045703906,0.000067,0.000175,0.000175,0.0001,0.000463,0.000164,0.000235,0.000018,0.000013,0.000002,0.000004,0.000005,0.000007,0.000004,0.000021,0.000001,0.000018,0.000005,0.000002,0.000004,0.000003,0.000004,0.000018,0.000002,0,0.000001,0.000001,0.000004,0.000071,0.000033,0.000066,0.000047,0.000048,0.00004,0.00001,0.00001,0.000021,0.000029,0.000068,0.000002,0.000146,0.000001,0.000038,0.00006,0.000037,0.000068,0.00011,0.000214,0.000056,0.000008,0.000037,0.000029,0.001265,0.00238,0.000012,0.000033,0.00001,0.000024,0.000087,0.000079,0.000361,0.000005,0.00238,0.0000074,4.33333E-06,0.000161912,0.045703906
775,Rickettsiaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,0.044876554,0.000046,0.000032,0.000023,0.000061,0.000026,0.000057,0.000021,0.000001,0.000001,0.000011,0.000001,0.000003,0.000012,0.000004,0.000002,0.000009,0.000001,0.000006,0.000008,0.000021,0.000011,0.000021,0.00002,0.000023,0.000002,0.000003,0.000027,0.000013,0.000039,0.000079,0.000275,0.000157,0.000067,0.000234,0.000014,0.000005,0.00007,0.000238,0.00029,0.000005,0.000128,0,0.000093,0.000194,0.000093,0.000057,0.000225,0.000097,0.000127,0.000018,0.000053,0.000013,0.000681,0.00184,0.000126,0.00001,0.00001,0.000017,0.000117,0.000106,0.000171,0.000008,0.00184,7.46667E-06,1.46667E-05,0.000166382,0.044876554
2146,Acholeplasmataceae,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,0.044810048,0.000156,0.000046,0.00005,0.000172,0.000064,0.000127,0.000028,0.000003,0.000002,0.000024,0.000005,0.000003,0.0001,0.000007,0.000002,0.000002,0.000002,0.000008,0.000005,0.00004,0.000014,0.000081,0.00008,0.000026,0,0,0.000032,0.000047,0.000102,0.000212,0.00179,0.002127,0.000349,0.001179,0.00001,0.000004,0.000288,0.0011,0.001041,0.000002,0.000055,0.000001,0.000708,0.000731,0.000375,0.000108,0.001714,0.000033,0.000103,0.000025,0.000275,0.00001,0.000052,0.000731,0.000141,0.000019,0.000004,0.000017,0.000655,0.000464,0.000639,0.00001,0.002127,1.98667E-05,3.08333E-05,0.000443353,0.044810048
49546,Flavobacteriaceae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0.036868304,0.000245,0.000216,0.00025,0.000448,0.000412,0.000919,0.000304,0.000058,0.000043,0.00003,0.000135,0.000058,0.000089,0.000042,0.000021,0.000027,0.000152,0.000037,0.000025,0.000062,0.00002,0.00008,0.007349,0.000782,0.002515,0.007726,0.000655,0.000977,0.001268,0.001113,0.001748,0.001015,0.00132,0.001295,0.001026,0.000724,0.004244,0.001268,0.001398,0.000351,0.000585,0.000179,0.008369,0.000969,0.000981,0.000774,0.001038,0.000703,0.000628,0.000282,0.001965,0.001925,0.002828,0.001719,0.000722,0.001179,0.005694,0.001014,0.001502,0.00176,0.001226,0.001229,0.008369,0.0000586,0.003334,0.001589441,0.036868304
815,Bacteroidaceae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,0.03401024,0.031522,0.016654,0.042307,0.028178,0.029513,0.257674,0.040497,0.011986,0.031153,0.002793,0.001576,0.000571,0.00104,0.007254,0.000563,0.001115,0.145369,0.002664,0.01535,0.002268,0.007132,0.0206,0.069767,0.570823,0.128954,0.201993,0.316838,0.709831,0.610566,0.554817,0.276125,0.638009,0.201624,0.251167,0.812168,0.841867,0.332846,0.479913,0.422755,0.927811,0.90793,0.953512,0.294953,0.14902,0.455193,0.216986,0.170802,0.377907,0.127556,0.641665,0.425513,0.508413,0.561787,0.556531,0.198001,0.656367,0.747018,0.624929,0.139259,0.261102,0.584113,0.848995,0.953512,0.016762267,0.333034333,0.492859412,0.03401024
216572,Oscillospiraceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,0.026709712,0.001144,0.002025,0.002984,0.001567,0.005743,0.003613,0.003716,0.000039,0.000021,0.000019,0.000033,0.000019,0.000025,0.000008,0.000041,0.000025,0.000035,0.000029,0.00002,0.000022,0.000012,0.000017,0.000025,0.000007,0.000001,0.000001,0.000012,0.000037,0.000807,0.001295,0.001273,0.000666,0.00037,0.002299,0.000134,0.00105,0.000558,0.000747,0.000866,0.000015,0.000025,0.000049,0.001408,0.00112,0.001267,0.001326,0.001179,0.00069,0.000983,0.000218,0.001709,0.001344,0.000748,0.001351,0.001179,0.000749,0.000194,0.001252,0.000908,0.001111,0.001781,0.000304,0.005743,2.43333E-05,1.38333E-05,0.000911029,0.026709712
2159,Methanobacteriaceae,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,0.017275814,0.198532,0.00366,0.003727,0.041547,0.031589,0.081623,0.035545,0.000009,0.000011,0.000014,0.000007,0.000006,0.00007,0.000011,0.000009,0.000006,0.000011,0.00003,0.000005,0.000052,0.000009,0.000053,0.000076,0.000052,0,0.000004,0.000056,0.000058,0.000056,0.000061,0.003989,0.000521,0.000065,0.001181,0.000025,0.000018,0.000655,0.000587,0.000259,0.000016,0.000011,0.000001,0.000113,0.00059,0.005385,0.013033,0.010312,0.00005,0.000131,0.000041,0.000193,0.000013,0.000115,0.000443,0.000217,0.000019,0.000011,0.000027,0.000055,0.00009,0.001461,0.000011,0.198532,0.0000202,0.000041,0.001169265,0.017275814
171551,Porphyromonadaceae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,0.008730234,0.002572,0.001452,0.004002,0.004048,0.005399,0.037246,0.006007,0.00021,0.000402,0.000461,0.000346,0.000073,0.000115,0.000062,0.000035,0.000018,0.002206,0.000051,0.000381,0.000236,0.000489,0.00154,0.001745,0.004767,0.00014,0.000248,0.002694,0.005629,0.175333,0.079175,0.047042,0.064037,0.035301,0.03216,0.073171,0.09313,0.041989,0.074021,0.013479,0.00998,0.008898,0.004087,0.073364,0.021199,0.071421,0.014211,0.019206,0.031717,0.014062,0.003134,0.079174,0.143807,0.082555,0.037333,0.007177,0.058174,0.046951,0.014427,0.02501,0.169457,0.031244,0.02465,0.175333,0.000441667,0.002537167,0.050590471,0.008730234
171550,Rikenellaceae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,0.00399133,0.014544,0.015495,0.014989,0.012031,0.023448,0.067435,0.013691,0.00008,0.000215,0.000826,0.000011,0.000007,0.000008,0.000033,0.000014,0.000013,0.000943,0.000014,0.000241,0.00024,0.000251,0.000686,0.000678,0.001577,0.000068,0.00008,0.000697,0.002154,0.071361,0.118737,0.074294,0.103481,0.045663,0.055171,0.02564,0.002272,0.015391,0.080111,0.112028,0.00337,0.009464,0.004136,0.002924,0.018175,0.04581,0.038333,0.057153,0.036489,0.013689,0.000393,0.076053,0.221778,0.045612,0.071455,0.016016,0.085934,0.079296,0.046787,0.294616,0.114409,0.041907,0.006261,0.294616,0.0002388,0.000875667,0.059829676,0.00399133
171552,Prevotellaceae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,0.003440683,0.001213,0.001179,0.001256,0.00111,0.002155,0.004568,0.014637,0.000151,0.000221,0.000055,0.000272,0.000125,0.000114,0.000064,0.000067,0.000036,0.001057,0.000053,0.000128,0.000063,0.000054,0.000136,0.000666,0.00582,0.000152,0.00024,0.002766,0.007347,0.013694,0.006897,0.113359,0.009925,0.502198,0.005364,0.009485,0.007843,0.45947,0.009299,0.00616,0.010913,0.007541,0.004933,0.347721,0.01258,0.006644,0.002602,0.004262,0.008435,0.003327,0.002142,0.032702,0.012384,0.018359,0.006202,0.003691,0.009655,0.023958,0.008544,0.007057,0.009745,0.005381,0.017731,0.502198,0.000173067,0.002831833,0.050300088,0.003440683
